Complexity,Loss,Equation
2,226.52492,"exp(3.7698045)"
3,172.90993,"x0 * 0.5576558"
5,55.607178,"(-5.273007 * x1) + x0"
7,28.864677,"0.8557933 * ((-4.4527793 * x1) + x0)"
9,7.127017,"(((-7.493332 * x1) + 43.219486) + x0) * 0.5807065"
10,6.6116652,"0.5402864 * ((-8.093282 * (x1 + inv(-0.15186349))) + x0)"
12,0.012327867,"(sin(inv(inv(3.9822938 + x1) + 0.28970858)) * x0) + 0.28404218"
13,0.01214016,"(sin(inv(inv(3.9638867 + x1) + 0.28986055)) * x0) + cos(1.4609548)"
15,0.010162738,"(sin(inv(inv(3.9638867 + x1) + 0.28986055)) * x0) + (inv(x1) * 0.44847614)"
16,0.0073098177,"(sin(inv(sin(inv(x1 + 3.5966268) + 0.29653767))) * x0) + (inv(x1) * 0.44847614)"
17,0.004307518,"(sin(inv(0.29049063 + inv(4.010976 + x1))) * x0) + inv(inv(inv(x1 * x1)))"
